Number,Easting,Northing,Elevation,Code
1,480609,1849540.479,373.0785,
2,480609.0388,1849540.365,371.2119,TEST GNSS005
3,480608.0996,1849548.923,371.3183,EOL
4,480606.2817,1849549.07,371.3075,SP
5,480603.8571,1849549.234,371.1691,EOL
6,480602.1444,1849549.978,371.1614,SP
7,480596.5934,1849552.186,367.8787,SP
8,480599.0774,1849551.897,369.1369,SP
9,480595.7898,1849552.901,367.5083,SP
10,480595.0403,1849573.879,368.4319,SP
11,480597.7484,1849574.175,369.2174,SP
12,480600.2369,1849574.107,370.3828,SP
13,480602.1699,1849573.609,371.2283,EOL
14,480604.5569,1849573.811,371.224,SP
15,480608.0048,1849574.074,371.1765,EOL
16,480607.9369,1849578.042,371.0202,SP
17,480608.4467,1849584.381,370.471,SP
18,480608.9569,1849590.529,369.8346,SP
19,480609.4242,1849598.255,369.6271,SP
20,480608.5256,1849598.491,369.7016,EOL
21,480607.1664,1849599.003,369.7174,SP
22,480604.7523,1849599.435,369.8807,EOL
23,480602.4967,1849599.115,369.8815,SP
24,480599.9437,1849599.766,368.8022,SP
25,480597.3262,1849599.569,367.6898,SP
26,480595.9454,1849598.87,366.7796,SP
27,480604.3128,1849624.098,368.9235,EOL
28,480602.9287,1849623.914,369.0498,SP
29,480601.0856,1849624.424,368.2176,SP
30,480599.0966,1849624.968,366.893,SP
31,480596.1179,1849625.014,366.0159,SP
32,480606.039,1849624.435,368.9095,SP
33,480609.8581,1849623.625,369.0634,SP
34,480609.1523,1849623.715,369.011,EOL
35,480609.2153,1849628.625,368.6766,SP
36,480608.8945,1849635.693,368.2466,SP
37,480609.8481,1849641.952,368.0151,SP
38,480610.2029,1849648.261,367.5799,SP
39,480609.1562,1849648.639,367.1949,EOL
40,480607.0166,1849649.379,367.3192,SP
41,480603.8646,1849649.824,367.2245,EOL
42,480601.976,1849649.358,366.8832,SP
43,480600.8964,1849649.377,365.6535,SP
44,480608.926,1849674.527,365.8502,EOL
45,480606.8101,1849673.713,365.6591,SP
46,480604.3628,1849674.158,365.1051,SP
47,480602.0127,1849674.251,364.6253,SP
48,480599.0684,1849674.368,364.4108,SP
49,480597.4283,1849674.674,363.7685,SP
50,480611.4066,1849673.806,365.8814,SP
51,480613.8147,1849674.168,365.7709,EOL
52,480613.118,1849678.373,365.5745,SP
53,480612.4351,1849684.262,365.0904,SP
54,480611.2135,1849689.361,364.5615,SP
55,480610.3493,1849692.864,364.177,SP
56,480609.7176,1849696.658,363.9042,SP
57,480608.7487,1849697.862,363.7314,SP
58,480606.3493,1849696.73,363.5993,EOL
59,480603.8861,1849696.324,363.724,SP
60,480601.5344,1849694.31,363.8289,SP
61,480600.1035,1849694.378,363.3741,SP
62,480598.7108,1849693.54,362.6002,SP
63,480597.0546,1849692.922,361.8161,SP
64,480588.1893,1849711.171,361.5853,SP
65,480586.1113,1849709.545,360.9632,SP
66,480585.0642,1849707.81,360.037,SP
67,480589.625,1849713.195,360.5759,SP
68,480590.2653,1849713.686,360.2215,EOL
69,480591.759,1849715.883,360.3322,SP
70,480591.2409,1849717.629,360.0175,SP
71,480587.0842,1849720.818,359.2208,SP
72,480584.2501,1849723.355,358.4575,SP
73,480581.0923,1849725.686,358.0548,SP
74,480578.4406,1849728.012,357.5021,SP
75,480574.9882,1849730.971,357.2893,SP
76,480572.4949,1849732.809,356.8258,SP
77,480571.5723,1849729.911,357.0832,EOL
78,480570.7486,1849726.981,356.8299,SP
79,480551.6412,1849745.52,355.0455,EOL
80,480550.3465,1849743.694,355.0287,SP
81,480549.7485,1849742.95,354.1252,SP
82,480553.3945,1849747.98,354.7389,SP
83,480550.2172,1849750.775,354.0946,SP
84,480547.2433,1849753.369,353.7086,SP
85,480543.9979,1849755.82,353.3088,SP
86,480540.8921,1849758.387,352.8617,SP
87,480536.7641,1849762.001,352.6373,SP
88,480533.4283,1849764.148,352.2641,SP
89,480532.9621,1849762.163,352.3781,EOL
90,480532.0469,1849760.117,352.7638,SP
91,480531.4689,1849759.118,352.1718,SP
92,480530.9811,1849758.364,351.5219,SP
93,480513.6168,1849777.242,350.4907,EOL
94,480512.6409,1849775.579,350.5389,SP
95,480511.8246,1849774.245,350.364,SP
96,480510.2013,1849772.929,349.3151,SP
97,480509.5695,1849771.282,349.2983,SP
98,480512.7153,1849780.771,350.2526,SP
99,480509.0993,1849783.227,350.0406,SP
100,480504.9933,1849786.248,349.7356,SP
101,480502.041,1849788.42,349.3165,SP
102,480498.0211,1849791.076,348.9298,SP
103,480494.5787,1849793.692,348.5466,SP
104,480493.1529,1849791.71,348.5589,EOL
105,480493.0592,1849789.671,348.6725,SP
106,480491.6635,1849787.848,348.4297,SP
107,480489.8824,1849785.408,348.4745,SP
108,480470.5809,1849802.383,346.4209,EOL
109,480470.1028,1849800.749,346.9987,SP
110,480469.1858,1849797.935,346.4613,SP
111,480467.8073,1849795.37,345.8282,SP
112,480466.7358,1849792.649,345.6206,SP
113,480465.0612,1849790.303,345.2062,SP
114,480464.209,1849789.139,344.7984,SP
115,480470.02,1849806.4,346.2795,SP
116,480465.923,1849808.457,345.6948,SP
117,480461.4792,1849810.444,345.4412,SP
118,480456.8665,1849812.439,344.8521,SP
119,480452.3151,1849814.314,344.5771,SP
120,480448.8805,1849815.522,344.3725,SP
121,480448.6745,1849813.435,344.3857,EOL
122,480447.8581,1849810.817,344.7084,SP
123,480446.7163,1849809.368,345.0206,SP
124,480445.7451,1849807.999,344.6736,SP
125,480443.6747,1849805.348,344.5313,SP
126,480419.6668,1849816.912,342.44,SP
127,480420.7248,1849819.034,343.1769,SP
128,480422.2732,1849820.976,343.0149,SP
129,480424.3955,1849823.078,342.7475,SP
130,480425.2028,1849824.39,342.0425,EOL
131,480426.626,1849826.52,342.0602,SP
132,480425.7303,1849829.059,341.7256,SP
133,480421.9543,1849832.243,341.3537,SP
134,480418.2547,1849835.925,340.7524,SP
135,480415.7045,1849838.59,340.2861,SP
136,480412.4932,1849841.916,339.8246,SP
137,480409.612,1849844.755,339.4296,SP
138,480408.521,1849843.811,339.4322,SP
139,480407.0699,1849842.555,339.5683,EOL
140,480405.7495,1849841.128,340.5768,SP
141,480404.2486,1849839.381,340.9382,SP
142,480400.9472,1849836.206,336.325,SP
143,480401.8951,1849837.762,340.2832,SP
144,480398.1941,1849834.689,340.0787,SP
145,480380.4891,1849853.171,336.7443,SP
146,480382.4686,1849854.504,336.8691,SP
147,480385.1255,1849856.948,337.6114,SP
148,480385.7852,1849857.77,337.2922,SP
149,480388.5288,1849859.775,336.9316,EOL
150,480390.8137,1849862.218,336.6683,SP
151,480390.8494,1849864.544,336.3409,SP
152,480388.1295,1849867.932,336.0439,SP
153,480386.3083,1849870.154,335.6353,SP
154,480382.0224,1849875.056,334.9763,SP
155,480379.4976,1849878.564,334.7481,SP
156,480377.9336,1849882.847,334.3094,SP
157,480375.6588,1849882.154,334.2168,SP
158,480373.3475,1849880.799,333.9111,SP
159,480370.6187,1849879.905,333.5505,SP
160,480368.3305,1849878.41,333.5136,SP
161,480364.2811,1849904.671,330.1315,SP
162,480361.0647,1849904.077,329.6317,SP
163,480357.8362,1849903.437,328.0017,SP
164,480355.5668,1849902.249,327.7965,SP
165,480353.2195,1849901.641,327.2273,SP
166,480365.374,1849905.063,330.1538,EOC
167,480368.193,1849906.317,330.1643,EOC
168,480367.9497,1849908.551,329.5263,SP
169,480366.8538,1849913.077,328.7027,SP
170,480365.5416,1849917.042,327.7543,SP
171,480364.8968,1849920.279,327.4352,SP
172,480365.1043,1849924.088,326.5461,SP
173,480364.9158,1849928.874,325.9231,SP
174,480364.42,1849930.361,325.8791,SP
175,480361.2546,1849930.671,325.6962,SP
176,480358.1355,1849930.391,324.8513,SP
177,480355.3908,1849930.652,324.4147,SP
178,480352.69,1849930.953,324.2629,SP
179,480351.3657,1849931.362,323.5098,SP
180,480362.0203,1849958.109,322.2352,SP
181,480359.5034,1849958.775,321.8488,SP
182,480356.7427,1849959.603,321.4863,SP
183,480353.6956,1849960.285,321.2285,SP
184,480366.6209,1849956.549,322.927,SP
185,480367.8787,1849956.117,322.9725,EOL
186,480370.292,1849955.212,323.0654,EOL
187,480371.5114,1849958.817,322.6305,SP
188,480372.7433,1849963.195,322.1199,SP
189,480373.8008,1849966.599,321.6141,SP
190,480375.5558,1849972.456,321.0156,SP
191,480377.2674,1849976.227,320.4377,SP
192,480378.0119,1849979.014,320.0455,EOL
193,480375.3634,1849979.741,320.0032,EOL
194,480371.1712,1849980.564,319.5837,SP
195,480368.7412,1849981.669,320.0256,SP
196,480366.3703,1849982.234,319.8182,SP
197,480363.7256,1849984.161,319.4294,SP
198,480361.213,1849985.541,319.2404,SP
199,480377.7307,1850009.482,317.2886,SP
200,480380.9319,1850007.337,317.3728,SP
201,480385.0817,1850003.891,318.01,SP
202,480383.8312,1850004.572,317.7798,SP
203,480385.4213,1850003.778,318.0199,EOL
204,480387.621,1850001.158,318.1333,EOL
205,480390.147,1850004.868,317.966,SP
206,480391.9003,1850007.217,317.8951,SP
207,480394.1812,1850010.674,317.7781,SP
208,480397.8421,1850015.155,317.7746,SP
209,480401.7741,1850020.174,317.5874,SP
210,480402.8646,1850022.074,317.5734,EOL
211,480400.9817,1850023.859,317.6542,SP
212,480399.1901,1850025.597,317.5819,SP
213,480398.1197,1850026.694,317.5014,SP
214,480395.2888,1850029.239,317.5494,SP
215,480393.8174,1850030.269,317.6802,SP
216,480392.1875,1850032.153,317.5604,SP
217,480390.2757,1850034.45,317.3005,SP
218,480388.1488,1850036.574,317.3024,SP
219,480406.6956,1850054.066,316.8424,SP
220,480409.4976,1850050.245,317.0211,SP
221,480412.734,1850047.122,317.26,SP
222,480414.4019,1850045.237,317.293,SP
223,480415.1572,1850043.059,317.5992,EOL
224,480416.9829,1850042.367,317.5503,SP
225,480419.4042,1850040.071,317.4504,EOL
226,480423.002,1850042.316,317.1818,SP
227,480425.249,1850044.888,317.3444,SP
228,480429.0172,1850048.371,317.0583,SP
229,480432.4153,1850051.262,317.1297,SP
230,480436.5493,1850054.091,317.4684,SP
231,480439.4997,1850056.334,317.2661,EOL
232,480437.7549,1850058.497,317.2869,SP
233,480436.504,1850060.132,317.1976,EOL
234,480435.0425,1850062.692,316.8754,SP
235,480432.6525,1850064.363,316.9487,SP
236,480430.8862,1850066.824,316.8775,SP
237,480428.47,1850070.369,316.7787,SP
238,480425.586,1850073.492,316.8003,SP
239,480446.2602,1850083.873,316.5427,SP
240,480448.6735,1850081.063,316.5977,SP
241,480451.1134,1850079.152,316.7824,SP
242,480453.5378,1850076.591,316.9062,SP
243,480454.9949,1850075.127,317.5035,EOL
244,480456.7053,1850073.699,317.5175,SP
245,480458.6029,1850071.826,317.4126,EOL
246,480460.2389,1850073.124,317.5016,SP
247,480463.3239,1850076.22,317.6689,SP
248,480465.7991,1850078.383,317.6509,SP
249,480468.2966,1850081.362,317.8669,SP
250,480470.6059,1850084.343,317.9196,SP
251,480472.5509,1850087.462,318.1196,SP
252,480474.6438,1850090.161,318.1192,SP
253,480474.1089,1850090.556,318.1351,EOL
